fdopendir|DIR *|int,fd|NULL|EACCES,EBADF,EMFILE,ENFILE,ENOENT,ENOMEM,ENOTDIR

mkdir|int|const char *,pathname,mode_t,mode|-1|EACCES,EDQUOT,EEXIST,EFAULT,ELOOP,EMLINK,ENAMETOOLONG,ENOENT,ENOMEM,ENOSPC,ENOTDIR,EPERM,EROFS
mkdirat|int|int,dirfd,const char *,pathname,mode_t,mode|-1|EACCES,EDQUOT,EEXIST,EFAULT,ELOOP,EMLINK,ENAMETOOLONG,ENOENT,ENOMEM,ENOSPC,ENOTDIR,EPERM,EROFS,EBADF
rmdir|int|const char *,pathname|-1|EACCES,EBUSY,EFAULT,EINVAL,ELOOP,ENAMETOOLONG,ENOENT,ENOMEM,ENOTDIR,ENOTEMPTY,EPERM,EROFS
mkdtemp|char *|char *,template|NULL|EINVAL,EACCES,EDQUOT,EEXIST,EFAULT,ELOOP,EMLINK,ENAMETOOLONG,ENOENT,ENOMEM,ENOSPC,ENOTDIR,EPERM,EROFS
mkstemp|int|char *,template|-1|EACCES,EEXIST,EFAULT,EINTR,EINVAL,EISDIR,ELOOP,ENAMETOOLONG,ENFILE,ENOENT,ENOSPC,ENOTDIR,EOVERFLOW,EPERM
# mkostemp|int|char *,template,int,flags|-1|EACCES,EEXIST,EFAULT,EINTR,EINVAL,EISDIR,ELOOP,ENAMETOOLONG,ENFILE,ENOENT,ENOSPC,ENOTDIR,EOVERFLOW,EPERM

mkfifo|int|const char *,pathname,mode_t,mode|-1|EACCES,EDQUOT,EEXIST,ENAMETOOLONG,ENOENT,ENOSPC,ENOTDIR,EROFS
mkfifoat|int|int,dirfd,const char *,pathname,mode_t,mode|-1|EACCES,EDQUOT,EEXIST,ENAMETOOLONG,ENOENT,ENOSPC,ENOTDIR,EROFS

dup|int|int,oldfd|-1|EBADF,EBUSY,EINTR,EINVAL,EMFILE
dup2|int|int,oldfd,int,newfd|-1|EBADF,EBUSY,EINTR,EINVAL,EMFILE

pread|ssize_t|int,fd,void *,buf,size_t,count,off_t,offset|-1|EAGAIN,EBADF,EFAULT,EINTR,EINVAL,EIO,EISDIR
pwrite|ssize_t|int,fd,const void *,buf,size_t,count,off_t,offset|-1|EAGAIN,EBADF,EDESTADDRREQ,EDQUOT,EFAULT,EFBIG,EINTR,EINVAL,EIO,ENOSPC,EPERM,EPIPE

chdir|int|const char *,path|-1|EACCES,EFAULT,EIO,ELOOP,ENAMETOOLONG,ENOENT,ENOMEM,ENOTDIR
fchdir|int|int,fd|-1|EACCES,EBADF

chown|int|const char *,pathname,uid_t,owner,gid_t,group|-1|EACCES,EFAULT,ELOOP,ENAMETOOLONG,ENOENT,ENOMEM,ENOTDIR,EPERM,EROFS
fchown|int|int,fd,uid_t,owner,gid_t,group|-1|EBADF,EIO,ENOENT,EPERM,EROFS
lchown|int|const char *,pathname,uid_t,owner,gid_t,group|-1|EACCES,EFAULT,ELOOP,ENAMETOOLONG,ENOENT,ENOMEM,ENOTDIR,EPERM,EROFS
fchownat|int|int,dirfd,const char *,pathname,uid_t,owner,gid_t,group,int,flags|-1|EACCES,EFAULT,ELOOP,ENAMETOOLONG,ENOENT,ENOMEM,ENOTDIR,EPERM,EROFS,EBADF,EINVAL,ENOTDIR

